red_fighter_name;blue_fighter_name;date;red_fighter_total_pts;blue_fighter_total_pts
AUSTIN HUBBARD;DAKOTA BUSH;04/17/2021;['29', '29', '29'];['28', '28', '28']
KARL ROBERSON;BRENDAN ALLEN;04/24/2021;['8', '8', '8'];['10', '10', '10']
DUSTIN JACOBY;KHALIL ROUNTREE JR.;10/29/2022;['28', '28', '29'];['29', '29', '28']
CARLOS CANDELARIO;JAKE HADLEY;11/05/2022;['9', '9', '9'];['10', '10', '10']
ALEX OLIVEIRA;SHAVKAT RAKHMONOV;10/24/2020;['-', '-', '-'];['-', '-', '-']
MERAB DVALISHVILI;CODY STAMANN;05/01/2021;['30', '29', '29'];['27', '28', '28']
TREVIN GILES;BEVON LEWIS;11/07/2020;['20', '20', '20'];['18', '18', '18']
DANIEL ZELLHUBER;CHRISTOS GIAGOS;09/16/2023;['9', '9', '9'];['10', '10', '10']
ALEX MORONO;RHYS MCKEE;11/14/2020;['30', '30', '30'];['27', '27', '27']
TAI TUIVASA;HARRY HUNSUCKER;03/20/2021;['-', '-', '-'];['-', '-', '-']
DOUGLAS SILVA DE ANDRADE;MILES JOHNS;06/15/2024;['27', '27', '28'];['30', '30', '29']
ALEX REYES;CHARLIE CAMPBELL;09/16/2023;['-', '-', '-'];['-', '-', '-']
TYSON PEDRO;ANTON TURKAL;09/10/2023;['-', '-', '-'];['-', '-', '-']
JULIAN MARQUEZ;ZACH REESE;06/08/2024;['-', '-', '-'];['-', '-', '-']
STIPE MIOCIC;FRANCIS NGANNOU;03/27/2021;['9', '9', '9'];['10', '10', '10']
JOSIANE NUNES;ZARAH FAIRN;01/21/2023;['29', '29', '29'];['28', '28', '28']
RICKY GLENN;CHRISTOS GIAGOS;04/22/2023;['-', '-', '-'];['-', '-', '-']
OTTMAN AZAITAR;KHAMA WORTHY;09/12/2020;['-', '-', '-'];['-', '-', '-']
BRIAN KELLEHER;RAY RODRIGUEZ;09/05/2020;['-', '-', '-'];['-', '-', '-']
ARMAN TSARUKYAN;DAMIR ISMAGULOV;12/17/2022;['30', '30', '30'];['27', '27', '27']
BRIAN KELLEHER;MARIO BAUTISTA;06/25/2022;['-', '-', '-'];['-', '-', '-']
EDDIE WINELAND;CODY STAMANN;06/18/2022;['-', '-', '-'];['-', '-', '-']
RONG ZHU;BRANDON JENKINS;09/18/2021;['20', '20', '20'];['18', '18', '17']
SHAMIL ABDURAKHIMOV;CHRIS DAUKAUS;09/25/2021;['8', '9', '9'];['10', '10', '10']
SANTIAGO PONZINIBBIO;ALEX MORONO;12/10/2022;['19', '18', '18'];['19', '20', '20']
JULIAN MARQUEZ;GREGORY RODRIGUES;06/18/2022;['-', '-', '-'];['-', '-', '-']
ERYK ANDERS;KYLE DAUKAUS;12/03/2022;['10', '10', '10'];['9', '9', '9']
JENNIFER MAIA;MARYNA MOROZ;11/19/2022;['29', '30', '29'];['28', '27', '28']
JI YEON KIM;MANDY BOHM;05/13/2023;['28', '27', '27'];['27', '28', '28']
DERRICK LEWIS;CIRYL GANE;08/07/2021;['18', '18', '18'];['20', '20', '20']
SEAN BRADY;CHRISTIAN AGUILERA;08/29/2020;['10', '10', '10'];['9', '9', '9']
JAMALL EMMERS;PAT SABATINI;08/28/2021;['-', '-', '-'];['-', '-', '-']
MOVSAR EVLOEV;DIEGO LOPES;05/06/2023;['29', '29', '30'];['28', '28', '27']
JJ ALDRICH;VANESSA DEMOPOULOS;08/28/2021;['30', '30', '30'];['27', '27', '27']
POLYANA VIANA;EMILY WHITMIRE;08/29/2020;['-', '-', '-'];['-', '-', '-']
JESSICA ANDRADE;YAN XIAONAN;05/06/2023;['-', '-'];['-', '-']
CODY STAMANN;DOUGLAS SILVA DE;05/13/2023;['28', '28', '28'];['29', '29', '29']
SASHA PALATNIKOV;RAMIZ BRAHIMAJ;08/21/2021;['-', '-', '-'];['-', '-', '-']
CHARLES JOHNSON;ZHALGAS ZHUMAGULOV;11/19/2022;['29', '28', '29'];['28', '29', '28']
JACK HERMANSSON;ROMAN DOLIDZE;12/03/2022;['10', '10', '10'];['9', '9', ‘9']
ADRIAN YANEZ;TONY KELLEY;06/18/2022;['-', '-', '-'];['-', '-', '-']
DARREN TILL;DRICUS DUPLESSIS;12/10/2022;['19', '18', '18'];['19', '19', '19']
PHIL HAWES;DERON WINN;06/18/2022;['10', '10', '10'];['8', '9', '9']
MONTEL JACKSON;JP BUYS;09/18/2021;['30', '30', '30'];['27', '27', '27']
MICHEL PEREIRA;ZELIM IMADAEV;09/05/2020;['20', '20', '20'];['18', '18', '18']
VANESSA DEMOPOULOS;JINH YU FREY;06/25/2022;['28', '29', '30'];['29', '28', '27']
AMIR ALBAZI;ALESSANDRO COSTA;12/17/2022;['20', '19', '19'];['18', '19', '19']
RANI YAHYA;MONTEL JACKSON;04/22/2023;['-', '-', '-'];['-', '-', '-']
SAIMON OLIVEIRA;DANIEL MARCOS;01/21/2023;['9', '9', '9'];['10', '10', '10']
MICHELLE WATERSON;ANGELA HILL;09/12/2020;['47', '49', '48'];['48', '46', '47']
JUSTIN TAFA;AUSTEN LANE;09/10/2023;['-', '-', '-'];['-', '-', '-']
IMPA KASANGANAY;SASHA PALATNIKOV;04/10/2021;['10', '10', '10'];['9', '9', '9']
