red_fighter_name;blue_fighter_name;event_date
LI JINGLIANG;MUSLIM SALIKHOV;16/07/2022
MATT SCHNELL;SUMUDAERJI;16/07/2022
SHANE BURGOS;CHARLES JOURDAIN;16/07/2022
DUSTIN JACOBY;DA WOON JUNG;16/07/2022
DOUGLAS SILVA DE ANDRADE;SAID NURMAGOMEDOV;09/07/2022
JARED VANDERAA;CHASE SHERMAN;09/07/2022
AIEMANN ZAHABI;RICKY TURCIOS;09/07/2022
BRAD RIDDELL;JALIN TURNER;02/07/2022
IAN MACHADO GARRY;GABE GREEN;02/07/2022
NATE MANESS;UMAR NURMAGOMEDOV;25/06/2022
CARLOS ULBERG;TAFON NCHUKWI;25/06/2022
SHAYILAN NUERDANBIEKE;TJ BROWN;25/06/2022
RICARDO RAMOS;DANNY CHAVEZ;18/06/2022
MARIA OLIVEIRA;GLORIA DE PAULA;18/06/2022
GLOVER TEIXEIRA;JIRI PROCHAZKA;11/06/2022
VALENTINA SHEVCHENKO;TAILA SANTOS;11/06/2022
ZHANG WEILI;JOANNA JEDRZEJCZYK;11/06/2022
ANDRE FIALHO;JAKE MATTHEWS;11/06/2022
JACK DELLA MADDALENA;RAMAZAN EMEEV;11/06/2022
SEUNGWOO CHOI;JOSH CULIBAO;11/06/2022
MAHESHATE;STEVE GARCIA;11/06/2022
BRENDAN ALLEN;JACOB MALKOUN;11/06/2022
KYUNG HO KANG;BATGEREL DANAA;11/06/2022
LIANG NA;SILVANA GOMEZ JUAREZ;11/06/2022
RAMONA PASCUAL;JOSELYNE EDWARDS;11/06/2022
JOSEPH HOLMES;ALEN AMEDOVSKI;21/05/2022
KATLYN CERMINARA;AMANDA RIBAS;14/05/2022
KLEYDSON RODRIGUES;CJ VERGARA;07/05/2022
DANIEL LACERDA;FRANCISCO FIGUEIREDO;30/04/2022
PAT SABATINI;TJ LARAMIE;16/04/2022
ALATENGHEILI;KEVIN CROOM;16/04/2022
ALEXANDER VOLKANOVSKI;CHAN SUNG JUNG;09/04/2022
MACKENZIE DERN;TECIA PENNINGTON;09/04/2022
IAN MACHADO GARRY;DARIAN WEEKS;09/04/2022
SARA MCMANN;KAROL ROSA;26/03/2022
CHRIS GUTIERREZ;BATGEREL DANAA;26/03/2022
PADDY PIMBLETT;KAZULA VARGAS;19/03/2022
MIKE GRUNDY;MAKWAN AMIRKHANI;19/03/2022
SHAMIL ABDURAKHIMOV;SERGEI PAVLOVICH;19/03/2022
JACK SHORE;TIMUR VALIEV;19/03/2022
CORY MCKENNA;ELISE REED;19/03/2022
DREW DOBER;TERRANCE MCKINNEY;12/03/2022
MATTHEW SEMELSBERGER;AJ FLETCHER;12/03/2022
TREVIN JONES;JAVID BASHARAT;12/03/2022
DAMON JACKSON;KAMUELA KIRK;12/03/2022
DALCHA LUNGIAMBULA;CODY BRUNDAGE;12/03/2022
SERGHEI SPIVAC;GREG HARDY;05/03/2022
NICOLAE NEGUMEREANU;KENNEDY NZECHUKWU;05/03/2022
MARYNA MOROZ;MARIYA AGAPOVA;05/03/2022
BRIAN KELLEHER;UMAR NURMAGOMEDOV;05/03/2022
DUSTIN JACOBY;MICHAL OLEKSIEJCZUK;05/03/2022
ISLAM MAKHACHEV;KING GREEN;26/02/2022
MISHA CIRKUNOV;WELLINGTON TURMAN;26/02/2022
JI YEON KIM;PRISCILA CACHOEIRA;26/02/2022
ARMAN TSARUKYAN;JOEL ALVAREZ;26/02/2022
ARMEN PETROSYAN;GREGORY RODRIGUES;26/02/2022
RONGZHU;IGNACIO BAHAMONDES;26/02/2022
JOSIANE NUNES;RAMONA PASCUAL;26/02/2022
TERRANCE MCKINNEY;FARES ZIAM;26/02/2022
