red_fighter_name;blue_fighter_name;event_date;red_fighter_result;blue_fighter_result;method;bout_type;bonus;red_fighter_total_pts;blue_fighter_total_pts
MICHEL PEREIRA;ANDRE FIALHO;22/01/2022;W;L;Decision - Unanimous;Welterweight Bout;-;29 29 29;28 28 28
CODY STAMANN;SAID NURMAGOMEDOV;22/01/2022;L;W;Submission;Bantamweight Bout;perf;- - -;- - -
MICHAEL MORALES;TREVIN GILES;22/01/2022;W;L;KO/TKO;Welterweight Bout;-;- - -;- - -
RAONI BARCELOS;VICTOR HENRY;22/01/2022;L;W;Decision - Unanimous;Bantamweight Bout;-;27 27 27;30 30 30
JACK DELLA MADDALENA;PETE RODRIGUEZ;22/01/2022;W;L;KO/TKO;Welterweight Bout;-;- - -;- - -
TONY GRAVELY;SAIMON OLIVEIRA;22/01/2022;W;L;Decision - Unanimous;Bantamweight Bout;-;30 30 30;27 27 27
MATT FREVOLA;GENARO VALDEZ;22/01/2022;W;L;KO/TKO;Lightweight Bout;-;- - -;- - -
SILVANA GOMEZ JUAREZ;VANESSA DEMOPOULOS;22/01/2022;L;W;Submission;Women's Strawweight Bout;perf;- - -;- - -
KAY HANSEN;JASMINE JASUDAVICIUS;22/01/2022;L;W;Decision - Unanimous;Women's Flyweight Bout;-;27 28 28;30 29 29
CALVIN KATTAR;GIGA CHIKADZE;15/01/2022;W;L;Decision - Unanimous;Featherweight Bout;fight;50 50 50;45 45 44
JAKE COLLIER;CHASE SHERMAN;15/01/2022;W;L;Submission;Heavyweight Bout;perf;- -;- -
BRANDON ROYVAL;ROGERIO BONTORIN;15/01/2022;W;L;Decision - Split;Flyweight Bout;-;29 28 29;28 29 28
KATLYN CERMINARA;JENNIFER MAIA;15/01/2022;W;L;Decision - Unanimous;Women's Flyweight Bout;-;30 30 30;27 27 27
DAKOTA BUSH;VIACHESLAV BORSHCHEV;15/01/2022;L;W;KO/TKO;Lightweight Bout;perf;- - -;- - -
BILL ALGEO;JOANDERSON BRITO;15/01/2022;W;L;Decision - Unanimous;Featherweight Bout;-;30 29 29;27 28 28
JAMIE PICKETT;JOSEPH HOLMES;15/01/2022;W;L;Decision - Unanimous;Middleweight Bout;-;29 29 29;28 28 28
