red_fighter_name;blue_fighter_name;event_date;red_fighter_result;blue_fighter_result;method;bout_type;bonus;red_fighter_total_pts;blue_fighter_total_pts
MIKE RODRIGUEZ;TAFON NCHUKWI;18/09/2021;L;W;Decision - Unanimous;Light Heavyweight Bout;-;27 27 27;30 30 30
PANNIE KIANZAD;RAQUEL PENNINGTON;18/09/2021;L;W;Decision - Unanimous;Women's Bantamweight Bout;-;28 28 28;29 29 29
RONGZHU;BRANDON JENKINS;18/09/2021;W;L;KO/TKO;Lightweight Bout;-;20 20 20;18 18 17
MONTEL JACKSON;JP BUYS;18/09/2021;W;L;Decision - Unanimous;Bantamweight Bout;-;30 30 30;27 27 27
ERIN BLANCHFIELD;SARAH ALPAR;18/09/2021;W;L;Decision - Unanimous;Women's Flyweight Bout;-;30 30 30;25 25 26
IMPA KASANGANAY;CARLSTON HARRIS;18/09/2021;L;W;KO/TKO;Welterweight Bout;-;- - -;- - -
EMILY WHITMIRE;HANNAH GOLDY;18/09/2021;L;W;Submission;Women's Flyweight Bout;-;- - -;- - -
DEREK BRUNSON;DARREN TILL;04/09/2021;W;L;Submission;Middleweight Bout;-;20 20 20;18 18 18
TOM ASPINALL;SERGHEI SPIVAC;04/09/2021;W;L;KO/TKO;Heavyweight Bout;perf;- - -;- - -
ALEX MORONO;DAVID ZAWADA;04/09/2021;W;L;Decision - Unanimous;Welterweight Bout;-;30 30 30;27 27 27
MODESTAS BUKAUSKAS;KHALIL ROUNTREE JR.;04/09/2021;L;W;KO/TKO;Light Heavyweight Bout;-;9 9 9;10 10 10
PADDY PIMBLETT;LUIGI VENDRAMINI;04/09/2021;W;L;KO/TKO;Lightweight Bout;perf;- - -;- - -
MOLLY MCCANN;JI YEON KIM;04/09/2021;W;L;Decision - Unanimous;Women's Flyweight Bout;fight;29 29 29;28 28 28
JACK SHORE;LIUDVIK SHOLINIAN;04/09/2021;W;L;Decision - Unanimous;Bantamweight Bout;-;30 30 30;27 27 27
JULIAN EROSA;CHARLES JOURDAIN;04/09/2021;W;L;Submission;Catch Weight Bout;-;19 19 19;19 19 19
DALCHA LUNGIAMBULA;MARC-ANDRE BARRIAULT;04/09/2021;L;W;Decision - Unanimous;Middleweight Bout;-;28 28 27;29 29 30
EDSON BARBOZA;GIGA CHIKADZE;28/08/2021;L;W;KO/TKO;Featherweight Bout;perf;18 18 18;20 20 20
BRYAN BATTLE;GILBERT URBINA;28/08/2021;W;L;Submission;Middleweight Bout;-;9 10 9;10 9 10
RICKY TURCIOS;BRADY HIESTAND;28/08/2021;W;L;Decision - Split;Bantamweight Bout;-;29 28 29;28 29 28
KEVIN LEE;DANIEL RODRIGUEZ;28/08/2021;L;W;Decision - Unanimous;Welterweight Bout;-;28 28 28;29 29 29
ANDRE PETROSKI;MICHEAL GILLMORE;28/08/2021;W;L;KO/TKO;Middleweight Bout;-;19 20 19;19 18 19
MAKHMUD MURADOV;GERALD MEERSCHAERT;28/08/2021;L;W;Submission;Middleweight Bout;perf;10 10 10;9 9 9
ALESSIO DI CHIRICO;ABDUL RAZAK ALHASSAN;28/08/2021;L;W;KO/TKO;Middleweight Bout;perf;- - -;- - -
SAM ALVEY;WELLINGTON TURMAN;28/08/2021;L;W;Decision - Split;Middleweight Bout;-;27 27 28;28 28 27
DUSTIN JACOBY;DARREN STEWART;28/08/2021;W;L;KO/TKO;Light Heavyweight Bout;-;- - -;- - -
JJ ALDRICH;VANESSA DEMOPOULOS;28/08/2021;W;L;Decision - Unanimous;Women's Flyweight Bout;-;30 30 30;27 27 27
JAMALL EMMERS;PAT SABATINI;28/08/2021;L;W;Submission;Featherweight Bout;perf;- - -;- - -
MANA MARTINEZ;GUIDO CANNETTI;28/08/2021;W;L;Decision - Split;Bantamweight Bout;-;29 28 29;28 29 28
JARED CANNONIER;KELVIN GASTELUM;21/08/2021;W;L;Decision - Unanimous;Middleweight Bout;-;48 48 48;47 47 47
CLAY GUIDA;MARK MADSEN;21/08/2021;L;W;Decision - Split;Lightweight Bout;-;28 27 29;29 30 28
PARKER PORTER;CHASE SHERMAN;21/08/2021;W;L;Decision - Unanimous;Heavyweight Bout;-;30 30 29;27 27 28
TREVIN JONES;SAIDYOKUB KAKHRAMONOV;21/08/2021;L;W;Submission;Bantamweight Bout;-;18 18 19;20 20 19
VINC PICHEL;AUSTIN HUBBARD;21/08/2021;W;L;Decision - Unanimous;Lightweight Bout;-;30 30 30;27 27 27
ALEXANDRE PANTOJA;BRANDON ROYVAL;21/08/2021;W;L;Submission;Flyweight Bout;perf;10 9 10;9 10 9
AUSTIN LINGO;LUIS SALDANA;21/08/2021;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 29;28 28 28
BRIAN KELLEHER;DOMINGO PILARTE;21/08/2021;W;L;Decision - Unanimous;Bantamweight Bout;-;30 30 30;27 27 27
BEA MALECKI;JOSIANE NUNES;21/08/2021;L;W;KO/TKO;Women's Bantamweight Bout;perf;- - -;- - -
WILLIAM KNIGHT;FABIO CHERANT;21/08/2021;W;L;KO/TKO;Light Heavyweight Bout;perf;- - -;- - -
ROOSEVELT ROBERTS;IGNACIO BAHAMONDES;21/08/2021;L;W;KO/TKO;Lightweight Bout;perf;18 19 18;20 19 20
SASHA PALATNIKOV;RAMIZ BRAHIMAJ;21/08/2021;L;W;Submission;Welterweight Bout;-;- - -;- - -
DERRICK LEWIS;CIRYL GANE;07/08/2021;L;W;KO/TKO;UFC Interim Heavyweight Title Bout;belt;18 18 18;20 20 20
JOSE ALDO;PEDRO MUNHOZ;07/08/2021;W;L;Decision - Unanimous;Bantamweight Bout;-;30 30 30;27 27 27
MICHAEL CHIESA;VICENTE LUQUE;07/08/2021;L;W;Submission;Welterweight Bout;perf;- - -;- - -
TECIA PENNINGTON;ANGELA HILL;07/08/2021;W;L;Decision - Unanimous;Women's Strawweight Bout;-;30 29 30;27 28 27
SONG YADONG;CASEY KENNEY;07/08/2021;W;L;Decision - Split;Bantamweight Bout;-;30 29 28;27 28 29
KING GREEN;RAFAEL FIZIEV;07/08/2021;L;W;Decision - Unanimous;Lightweight Bout;fight;28 28 27;29 29 30
VINCE MORALES;DRAKO RODRIGUEZ;07/08/2021;W;L;Decision - Unanimous;Bantamweight Bout;-;30 29 29;27 28 28
ALONZO MENIFIELD;ED HERMAN;07/08/2021;W;L;Decision - Unanimous;Light Heavyweight Bout;-;30 30 30;27 27 27
KAROLINA KOWALKIEWICZ;JESSICA PENNE;07/08/2021;L;W;Submission;Women's Strawweight Bout;perf;- - -;- - -
MANEL KAPE;ODE OSBOURNE;07/08/2021;W;L;KO/TKO;Flyweight Bout;-;- - -;- - -
MILES JOHNS;ANDERSON DOS SANTOS;07/08/2021;W;L;KO/TKO;Bantamweight Bout;perf;20 20 20;18 18 18
VICTORIA LEONARDO;MELISSA GATTO;07/08/2021;L;W;TKO - Doctor's Stoppage;Women's Flyweight Bout;-;18 19 18;20 19 20
JOHNNY MUNOZ;JAMEY SIMMONS;07/08/2021;W;L;Submission;Bantamweight Bout;-;10 10 10;9 9 9
URIAH HALL;SEAN STRICKLAND;31/07/2021;L;W;Decision - Unanimous;Middleweight Bout;-;44 46 45;50 49 50
CHEYANNE VLISMAS;GLORIA DE PAULA;31/07/2021;W;L;KO/TKO;Women's Strawweight Bout;perf;- - -;- - -
NIKLAS STOLZE;JARED GOODEN;31/07/2021;L;W;KO/TKO;Welterweight Bout;-;- - -;- - -
COLLIN ANGLIN;MELSIK BAGHDASARYAN;31/07/2021;L;W;KO/TKO;Featherweight Bout;perf;9 9 9;10 10 10
BRYAN BARBERENA;JASON WITT;31/07/2021;L;W;Decision - Majority;Welterweight Bout;fight;27 28 28;29 29 28
CHRIS GRUETZEMACHER;RAFA GARCIA;31/07/2021;W;L;Decision - Unanimous;Lightweight Bout;-;29 29 29;28 28 28
JINH YU FREY;ASHLEY YODER;31/07/2021;W;L;Decision - Unanimous;Women's Strawweight Bout;-;30 30 30;27 27 27
RYAN BENOIT;ZARRUKH ADASHEV;31/07/2021;L;W;Decision - Unanimous;Flyweight Bout;-;27 28 27;30 29 30
PHIL ROWE;ORION COSCE;31/07/2021;W;L;KO/TKO;Welterweight Bout;-;9 9 9;10 10 10
CORY SANDHAGEN;TJ DILLASHAW;24/07/2021;L;W;Decision - Split;Bantamweight Bout;-;48 47 47;47 48 48
KYLER PHILLIPS;RAULIAN PAIVA;24/07/2021;L;W;Decision - Majority;Bantamweight Bout;fight;28 28 28;29 28 29
DARREN ELKINS;DARRICK MINNER;24/07/2021;W;L;KO/TKO;Featherweight Bout;perf;9 9 9;10 10 10
MIRANDA MAVERICK;MAYCEE BARBER;24/07/2021;L;W;Decision - Split;Women's Flyweight Bout;-;28 28 29;29 29 28
ADRIAN YANEZ;RANDY COSTA;24/07/2021;W;L;KO/TKO;Bantamweight Bout;perf;9 9 9;10 10 10
PUNAHELE SORIANO;BRENDAN ALLEN;24/07/2021;L;W;Decision - Unanimous;Middleweight Bout;-;27 28 27;30 29 30
NASSOURDINE IMAVOV;IAN HEINISCH;24/07/2021;W;L;KO/TKO;Middleweight Bout;-;10 10 10;9 9 9
MICKEY GALL;JORDAN WILLIAMS;24/07/2021;W;L;Submission;Welterweight Bout;-;- - -;- - -
JULIO ARCE;ANDRE EWELL;24/07/2021;W;L;KO/TKO;Bantamweight Bout;-;10 10 10;9 9 9
SIJARA EUBANKS;ELISE REED;24/07/2021;W;L;KO/TKO;Women's Flyweight Bout;-;- - -;- - -
DIANA BELBITA;HANNAH GOLDY;24/07/2021;W;L;Decision - Unanimous;Women's Strawweight Bout;-;30 30 30;27 27 27
ISLAM MAKHACHEV;THIAGO MOISES;17/07/2021;W;L;Submission;Lightweight Bout;-;30 30 30;27 27 27
MARION RENEAU;MIESHA TATE;17/07/2021;L;W;KO/TKO;Women's Bantamweight Bout;perf;18 18 18;20 20 20
JEREMY STEPHENS;MATEUSZ GAMROT;17/07/2021;L;W;Submission;Lightweight Bout;perf;- - -;- - -
RODOLFO VIEIRA;DUSTIN STOLTZFUS;17/07/2021;W;L;Submission;Middleweight Bout;perf;19 19 19;19 19 19
GABRIEL BENITEZ;BILLY QUARANTILLO;17/07/2021;L;W;KO/TKO;Featherweight Bout;fight;18 18 18;20 20 20
DANIEL RODRIGUEZ;PRESTON PARSONS;17/07/2021;W;L;KO/TKO;Welterweight Bout;-;- - -;- - -
AMANDA LEMOS;MONTSERRAT CONEJO RUIZ;17/07/2021;W;L;KO/TKO;Women's Strawweight Bout;-;- - -;- - -
KHALID TAHA;SERGEY MOROZOV;17/07/2021;L;W;Decision - Unanimous;Bantamweight Bout;-;30 29 29;27 28 28
FRANCISCO FIGUEIREDO;MALCOLM GORDON;17/07/2021;L;W;Decision - Unanimous;Flyweight Bout;-;27 28 28;30 29 29
DUSTIN POIRIER;CONOR MCGREGOR;10/07/2021;W;L;TKO - Doctor's Stoppage;Lightweight Bout;-;10 10 10;9 8 8
GILBERT BURNS;STEPHEN THOMPSON;10/07/2021;W;L;Decision - Unanimous;Welterweight Bout;-;29 29 29;28 28 28
TAI TUIVASA;GREG HARDY;10/07/2021;W;L;KO/TKO;Heavyweight Bout;perf;- - -;- - -
IRENE ALDANA;YANA SANTOS;10/07/2021;W;L;KO/TKO;Women's Bantamweight Bout;-;- - -;- - -
SEAN O'MALLEY;KRIS MOUTINHO;10/07/2021;W;L;KO/TKO;Bantamweight Bout;fight;20 20 20;17 17 17
CARLOS CONDIT;MAX GRIFFIN;10/07/2021;L;W;Decision - Unanimous;Welterweight Bout;-;28 28 27;29 29 30
NIKO PRICE;MICHEL PEREIRA;10/07/2021;L;W;Decision - Unanimous;Welterweight Bout;-;28 28 28;29 29 29
RYAN HALL;ILIA TOPURIA;10/07/2021;L;W;KO/TKO;Featherweight Bout;-;- - -;- - -
TREVIN GILES;DRICUS DU PLESSIS;10/07/2021;L;W;KO/TKO;Middleweight Bout;perf;9 9 9;10 10 10
JENNIFER MAIA;JESSICA EYE;10/07/2021;W;L;Decision - Unanimous;Women's Flyweight Bout;-;29 30 29;28 27 28
OMARI AKHMEDOV;BRAD TAVARES;10/07/2021;L;W;Decision - Split;Middleweight Bout;-;29 28 28;28 29 29
ZHALGAS ZHUMAGULOV;JEROME RIVERA;10/07/2021;W;L;Submission;Flyweight Bout;-;- - -;- - -
CIRYL GANE;ALEXANDER VOLKOV;26/06/2021;W;L;Decision - Unanimous;Heavyweight Bout;-;50 50 49;45 45 46
TANNER BOSER;OVINCE SAINT PREUX;26/06/2021;W;L;KO/TKO;Heavyweight Bout;-;10 10 10;9 9 9
RAONI BARCELOS;TIMUR VALIEV;26/06/2021;L;W;Decision - Majority;Bantamweight Bout;fight;28 28 28;29 29 28
TIM MEANS;NICOLAS DALBY;26/06/2021;W;L;Decision - Unanimous;Welterweight Bout;-;29 29 29;28 28 28
RENATO MOICANO;JAI HERBERT;26/06/2021;W;L;Submission;Lightweight Bout;-;10 10 10;9 9 9
KENNEDY NZECHUKWU;DANILO MARQUES;26/06/2021;W;L;KO/TKO;Light Heavyweight Bout;perf;18 19 18;20 19 20
SHAVKAT RAKHMONOV;MICHEL PRAZERES;26/06/2021;W;L;Submission;Welterweight Bout;-;10 10 10;9 9 9
WARLLEY ALVES;JEREMIAH WELLS;26/06/2021;L;W;KO/TKO;Welterweight Bout;-;9 9 9;10 10 10
MARCIN PRACHNIO;IKE VILLANUEVA;26/06/2021;W;L;KO/TKO;Light Heavyweight Bout;perf;9 9 9;10 10 10
JULIA AVILA;JULIJA STOLIARENKO;26/06/2021;W;L;Submission;Women's Bantamweight Bout;-;18 19 20;20 19 18
CHARLES ROSA;JUSTIN JAYNES;26/06/2021;W;L;Decision - Split;Featherweight Bout;-;30 28 29;27 29 28
YANCY MEDEIROS;DAMIR HADZOVIC;26/06/2021;L;W;Decision - Unanimous;Lightweight Bout;-;28 28 28;29 29 29
CHAN SUNG JUNG;DAN IGE;19/06/2021;W;L;Decision - Unanimous;Featherweight Bout;-;48 49 49;47 46 46
ALEKSEI OLEINIK;SERGHEI SPIVAC;19/06/2021;L;W;Decision - Unanimous;Heavyweight Bout;-;28 28 28;29 29 29
MARLON VERA;DAVEY GRANT;19/06/2021;W;L;Decision - Unanimous;Bantamweight Bout;fight;29 30 29;28 26 27
JULIAN EROSA;SEUNGWOO CHOI;19/06/2021;L;W;KO/TKO;Featherweight Bout;perf;- - -;- - -
WELLINGTON TURMAN;BRUNO SILVA;19/06/2021;L;W;KO/TKO;Middleweight Bout;-;- - -;- - -
MATT BROWN;DHIEGO LIMA;19/06/2021;W;L;KO/TKO;Welterweight Bout;perf;9 9 9;10 10 10
ALEKSA CAMUR;NICOLAE NEGUMEREANU;19/06/2021;L;W;Decision - Split;Light Heavyweight Bout;-;28 29 28;29 28 29
KANAKO MURATA;VIRNA JANDIROBA;19/06/2021;L;W;TKO - Doctor's Stoppage;Women's Strawweight Bout;-;19 18 18;19 20 20
KHAOS WILLIAMS;MATTHEW SEMELSBERGER;19/06/2021;W;L;Decision - Unanimous;Welterweight Bout;-;30 29 29;27 28 28
JOSH PARISIAN;ROQUE MARTINEZ;19/06/2021;W;L;Decision - Split;Heavyweight Bout;-;29 29 28;28 28 29
JOAQUIM SILVA;RICKY GLENN;19/06/2021;L;W;KO/TKO;Lightweight Bout;-;- - -;- - -
CASEY O'NEILL;LARA PROCOPIO;19/06/2021;W;L;Submission;Women's Flyweight Bout;-;19 19 19;19 19 19
ISRAEL ADESANYA;MARVIN VETTORI;12/06/2021;W;L;Decision - Unanimous;UFC Middleweight Title Bout;belt;50 50 50;45 45 45
DEIVESON FIGUEIREDO;BRANDON MORENO;12/06/2021;L;W;Submission;UFC Flyweight Title Bout;belt;19 18 18;19 20 20
LEON EDWARDS;NATE DIAZ;12/06/2021;W;L;Decision - Unanimous;Welterweight Bout;-;49 49 49;46 46 46
DEMIAN MAIA;BELAL MUHAMMAD;12/06/2021;L;W;Decision - Unanimous;Welterweight Bout;-;27 28 28;30 29 29
PAUL CRAIG;JAMAHAL HILL;12/06/2021;W;L;KO/TKO;Light Heavyweight Bout;perf;- - -;- - -
DREW DOBER;BRAD RIDDELL;12/06/2021;L;W;Decision - Unanimous;Lightweight Bout;fight;28 28 28;29 29 29
ERYK ANDERS;DARREN STEWART;12/06/2021;W;L;Decision - Unanimous;Light Heavyweight Bout;-;29 29 29;28 27 27
LAUREN MURPHY;JOANNE WOOD;12/06/2021;W;L;Decision - Split;Women's Flyweight Bout;-;29 28 29;28 29 28
MOVSAR EVLOEV;HAKEEM DAWODU;12/06/2021;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 29;27 27 27
PANNIE KIANZAD;ALEXIS DAVIS;12/06/2021;W;L;Decision - Unanimous;Women's Bantamweight Bout;-;29 30 30;28 27 27
MATT FREVOLA;TERRANCE MCKINNEY;12/06/2021;L;W;KO/TKO;Lightweight Bout;-;- - -;- - -
CHASE HOOPER;STEVEN PETERSON;12/06/2021;L;W;Decision - Unanimous;Featherweight Bout;-;27 28 27;30 29 30
FARES ZIAM;LUIGI VENDRAMINI;12/06/2021;W;L;Decision - Majority;Lightweight Bout;-;29 28 29;28 28 28
CARLOS FELIPE;JAKE COLLIER;12/06/2021;W;L;Decision - Split;Heavyweight Bout;-;28 29 29;29 28 28
JAIRZINHO ROZENSTRUIK;AUGUSTO SAKAI;05/06/2021;W;L;KO/TKO;Heavyweight Bout;perf;- - -;- - -
WALT HARRIS;MARCIN TYBURA;05/06/2021;L;W;KO/TKO;Heavyweight Bout;perf;- - -;- - -
ROMAN DOLIDZE;LAUREANO STAROPOLI;05/06/2021;W;L;Decision - Unanimous;Middleweight Bout;-;30 30 30;27 27 27
SANTIAGO PONZINIBBIO;MIGUEL BAEZA;05/06/2021;W;L;Decision - Unanimous;Welterweight Bout;fight;29 29 29;28 28 28
DUSKO TODOROVIC;GREGORY RODRIGUES;05/06/2021;L;W;Decision - Unanimous;Middleweight Bout;-;28 27 27;29 30 30
MONTANA DE LA ROSA;ARIANE DA SILVA;05/06/2021;W;L;KO/TKO;Women's Flyweight Bout;-;10 10 10;9 9 9
TANNER BOSER;ILIR LATIFI;05/06/2021;L;W;Decision - Split;Heavyweight Bout;-;28 28 29;29 29 27
FRANCISCO TRINALDO;MUSLIM SALIKHOV;05/06/2021;L;W;Decision - Unanimous;Welterweight Bout;-;27 27 27;30 30 30
MAKWAN AMIRKHANI;KAMUELA KIRK;05/06/2021;L;W;Decision - Unanimous;Featherweight Bout;-;28 27 28;29 30 29
MANON FIOROT;TABATHA RICCI;05/06/2021;W;L;KO/TKO;Women's Flyweight Bout;-;10 10 10;9 9 9
SEAN WOODSON;YOUSSEF ZALAL;05/06/2021;W;L;Decision - Split;Featherweight Bout;-;28 29 29;29 28 28
CLAUDIO PUELLES;JORDAN LEAVITT;05/06/2021;W;L;Decision - Unanimous;Lightweight Bout;-;29 29 29;28 28 28
ROB FONT;CODY GARBRANDT;22/05/2021;W;L;Decision - Unanimous;Bantamweight Bout;-;48 50 50;47 45 45
YAN XIAONAN;CARLA ESPARZA;22/05/2021;L;W;KO/TKO;Women's Strawweight Bout;perf;8 9 9;10 10 10
JUSTIN TAFA;JARED VANDERAA;22/05/2021;L;W;Decision - Unanimous;Heavyweight Bout;fight;27 28 27;30 29 30
FELICIA SPENCER;NORMA DUMONT;22/05/2021;L;W;Decision - Split;Women's Featherweight Bout;-;27 29 28;30 28 29
RICARDO RAMOS;BILL ALGEO;22/05/2021;W;L;Decision - Unanimous;Featherweight Bout;-;30 29 30;27 28 27
JACK HERMANSSON;EDMEN SHAHBAZYAN;22/05/2021;W;L;Decision - Unanimous;Middleweight Bout;-;29 29 29;27 27 27
BEN ROTHWELL;CHRIS BARNETT;22/05/2021;W;L;Submission;Heavyweight Bout;-;10 10 10;9 9 9
COURT MCGEE;CLAUDIO SILVA;22/05/2021;W;L;Decision - Unanimous;Welterweight Bout;-;29 30 30;27 26 26
BRUNO SILVA;VICTOR RODRIGUEZ;22/05/2021;W;L;KO/TKO;Flyweight Bout;perf;- - -;- - -
JOSH CULIBAO;SHAYILAN NUERDANBIEKE;22/05/2021;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 29;28 28 28
DAVID DVORAK;JUANCAMILO RONDEROS;22/05/2021;W;L;Submission;Flyweight Bout;-;- - -;- - -
RAFAEL ALVES;DAMIR ISMAGULOV;22/05/2021;L;W;Decision - Unanimous;Lightweight Bout;-;28 28 28;29 29 29
CHARLES OLIVEIRA;MICHAEL CHANDLER;15/05/2021;W;L;KO/TKO;UFC Lightweight Title Bout;belt;8 8 9;10 10 10
TONY FERGUSON;BENEIL DARIUSH;15/05/2021;L;W;Decision - Unanimous;Lightweight Bout;-;27 27 27;30 30 30
KATLYN CERMINARA;VIVIANE ARAUJO;15/05/2021;W;L;Decision - Unanimous;Women's Flyweight Bout;-;29 29 30;28 28 27
SHANE BURGOS;EDSON BARBOZA;15/05/2021;L;W;KO/TKO;Featherweight Bout;fight;18 19 18;20 19 20
JACARE SOUZA;ANDRE MUNIZ;15/05/2021;L;W;Submission;Middleweight Bout;-;- - -;- - -
LANDO VANNATA;MIKE GRUNDY;15/05/2021;W;L;Decision - Split;Featherweight Bout;-;29 27 30;28 30 27
JORDAN WRIGHT;JAMIE PICKETT;15/05/2021;W;L;KO/TKO;Middleweight Bout;-;- - -;- - -
ANDREA LEE;ANTONINA SHEVCHENKO;15/05/2021;W;L;Submission;Women's Flyweight Bout;-;10 10 10;9 9 9
GINA MAZANY;PRISCILA CACHOEIRA;15/05/2021;L;W;KO/TKO;Women's Flyweight Bout;-;10 10 10;9 9 9
KEVIN AGUILAR;TUCKER LUTZ;15/05/2021;L;W;Decision - Unanimous;Featherweight Bout;-;27 30 28;30 28 29
CHRISTOS GIAGOS;SEAN SORIANO;15/05/2021;W;L;Submission;Lightweight Bout;perf;9 9 10;10 10 9
MARINA RODRIGUEZ;MICHELLE WATERSON-GOMEZ;08/05/2021;W;L;Decision - Unanimous;Women's Flyweight Bout;-;48 49 49;47 46 46
DONALD CERRONE;ALEX MORONO;08/05/2021;L;W;KO/TKO;Welterweight Bout;perf;- - -;- - -
NEIL MAGNY;GEOFF NEAL;08/05/2021;W;L;Decision - Unanimous;Welterweight Bout;-;29 29 30;28 28 27
MAURICE GREENE;MARCOS ROGERIO DE LIMA;08/05/2021;L;W;Decision - Unanimous;Heavyweight Bout;-;26 27 26;30 30 30
DIEGO FERREIRA;GREGOR GILLESPIE;08/05/2021;L;W;KO/TKO;Lightweight Bout;fight;10 10 10;9 9 9
PHIL HAWES;KYLE DAUKAUS;08/05/2021;W;L;Decision - Unanimous;Middleweight Bout;-;30 30 29;26 26 27
LUDOVIT KLEIN;MICHAEL TRIZANO;08/05/2021;L;W;Decision - Unanimous;Featherweight Bout;-;28 28 27;29 29 30
JUNYONG PARK;TAFON NCHUKWI;08/05/2021;W;L;Decision - Majority;Middleweight Bout;-;28 29 30;28 26 25
CHRISTIAN AGUILERA;CARLSTON HARRIS;08/05/2021;L;W;Submission;Welterweight Bout;perf;- - -;- - -
DOMINICK REYES;JIRI PROCHAZKA;01/05/2021;L;W;KO/TKO;Light Heavyweight Bout;fight;9 9 9;10 10 10
GIGA CHIKADZE;CUB SWANSON;01/05/2021;W;L;KO/TKO;Featherweight Bout;perf;- - -;- - -
SEAN STRICKLAND;KRZYSZTOF JOTKO;01/05/2021;W;L;Decision - Unanimous;Middleweight Bout;-;30 29 30;27 28 27
MERAB DVALISHVILI;CODY STAMANN;01/05/2021;W;L;Decision - Unanimous;Bantamweight Bout;-;30 29 29;27 28 28
RANDA MARKOS;LUANA PINHEIRO;01/05/2021;L;W;DQ;Women's Strawweight Bout;-;- - -;- - -
KAI KAMAKA;TJ BROWN;01/05/2021;L;W;Decision - Split;Featherweight Bout;-;28 28 30;29 29 27
POLIANA BOTELHO;LUANA CAROLINA;01/05/2021;L;W;Decision - Split;Women's Flyweight Bout;-;29 28 28;28 29 29
LOMA LOOKBOONMEE;SAM HUGHES;01/05/2021;W;L;Decision - Unanimous;Women's Strawweight Bout;-;29 29 29;28 28 28
ANDREAS MICHAILIDIS;KB BHULLAR;01/05/2021;W;L;Decision - Unanimous;Middleweight Bout;-;29 30 30;28 27 27
LUKE SANDERS;FELIPE COLARES;01/05/2021;L;W;Decision - Unanimous;Featherweight Bout;-;28 28 28;29 29 29
KAMARU USMAN;JORGE MASVIDAL;24/04/2021;W;L;KO/TKO;UFC Welterweight Title Bout;belt;10 9 20;9 10 17
ZHANG WEILI;ROSE NAMAJUNAS;24/04/2021;L;W;KO/TKO;UFC Women's Strawweight Title Bout;belt;- - -;- - -
VALENTINA SHEVCHENKO;JESSICA ANDRADE;24/04/2021;W;L;KO/TKO;UFC Women's Flyweight Title Bout;belt;20 20 20;17 17 17
URIAH HALL;CHRIS WEIDMAN;24/04/2021;W;L;KO/TKO;Middleweight Bout;-;3 8 7;8 10 10
ANTHONY SMITH;JIMMY CRUTE;24/04/2021;W;L;TKO - Doctor's Stoppage;Light Heavyweight Bout;-;10 10 10;9 9 9
ALEX OLIVEIRA;RANDY BROWN;24/04/2021;L;W;Submission;Welterweight Bout;-;9 8;10 10
DWIGHT GRANT;STEFAN SEKULIC;24/04/2021;W;L;Decision - Split;Welterweight Bout;-;28 29 29;29 28 28
KARL ROBERSON;BRENDAN ALLEN;24/04/2021;L;W;Submission;Middleweight Bout;-;8 8 8;10 10 10
PAT SABATINI;TRISTAN CONNELLY;24/04/2021;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 30;28 28 27
BATGEREL DANAA;KEVIN NATIVIDAD;24/04/2021;W;L;KO/TKO;Bantamweight Bout;-;10 8 10;8 10 8
KAZULA VARGAS;RONGZHU;24/04/2021;W;L;Decision - Unanimous;Lightweight Bout;-;30 29 29;26 28 28
AORIQILENG;JEFF MOLINA;24/04/2021;L;W;Decision - Unanimous;Flyweight Bout;fight;27 28 28;29 29 29
LIANG NA;ARIANE CARNELOSSI;24/04/2021;L;W;KO/TKO;Women's Strawweight Bout;-;8 19 10;10 19 9
ROBERT WHITTAKER;KELVIN GASTELUM;17/04/2021;W;L;Decision - Unanimous;Middleweight Bout;fight;50 50 50;45 45 45
ANDREI ARLOVSKI;CHASE SHERMAN;17/04/2021;W;L;Decision - Unanimous;Heavyweight Bout;-;29 29 29;28 28 28
ABDUL RAZAK ALHASSAN;JACOB MALKOUN;17/04/2021;L;W;Decision - Unanimous;Middleweight Bout;-;27 27 27;30 30 30
TRACY CORTEZ;JUSTINE KISH;17/04/2021;W;L;Decision - Split;Women's Flyweight Bout;-;29 28 30;28 29 27
LUIS PENA;ALEXANDER MUNOZ;17/04/2021;W;L;Decision - Split;Lightweight Bout;-;28 29 29;29 28 28
ALEXANDR ROMANOV;JUAN ESPINO;17/04/2021;W;L;Decision - Split;Heavyweight Bout;-;29 19 29;28 19 28
JESSICA PENNE;LOOPY GODINEZ;17/04/2021;W;L;Decision - Split;Women's Strawweight Bout;-;29 29 28;28 28 29
BARTOSZ FABINSKI;GERALD MEERSCHAERT;17/04/2021;L;W;Submission;Middleweight Bout;perf;- - -;- - -
AUSTIN HUBBARD;DAKOTA BUSH;17/04/2021;W;L;Decision - Unanimous;Lightweight Bout;-;29 29 29;28 28 28
TONY GRAVELY;ANTHONY BIRCHAK;17/04/2021;W;L;KO/TKO;Bantamweight Bout;perf;10 10 10;9 9 8
MARVIN VETTORI;KEVIN HOLLAND;10/04/2021;W;L;Decision - Unanimous;Middleweight Bout;-;50 50 50;44 44 44
ARNOLD ALLEN;SODIQ YUSUFF;10/04/2021;W;L;Decision - Unanimous;Featherweight Bout;-;29 29 29;28 28 28
SAM ALVEY;JULIAN MARQUEZ;10/04/2021;L;W;Submission;Middleweight Bout;fight;9 9 9;10 10 10
